mnemonic, Category,  Percent of Packages depending on mnemonic
RET,CONTROL FLOW,100.053579083
LEA,MISC,100.042863266
CALL,CONTROL FLOW,100.042863266
ADD,BINARY ARITHMETIC,100.042863266
TEST,BITWISE,100.03214745
SUB,BINARY ARITHMETIC,100.03214745
MOV,DATA,100.03214745
JNE,CONTROL FLOW,100.03214745
CMP,BINARY ARITHMETIC,100.03214745
XOR,LOGICAL,100.021431633
SHL,SHIFT AND ROTATE,100.021431633
JE,CONTROL FLOW,100.021431633
NOP,MISC,100.010715817
JMP,CONTROL FLOW,99.9892841835
AND,LOGICAL,99.9892841835
SAR,SHIFT AND ROTATE,99.9464209173
ROR,SHIFT AND ROTATE,99.9035576511
SETE,BITWISE,99.8928418345
JBE,CONTROL FLOW,99.8392627518
XCHG,DATA,99.8071153022
ROL,SHIFT AND ROTATE,99.7963994856
SHR,SHIFT AND ROTATE,99.7856836691
DEC,BINARY ARITHMETIC,99.764252036
MOVZX,DATA,99.6785255036
MOVSXD,DATA,99.5927989713
JA,CONTROL FLOW,99.5927989713
SYSCALL,SYSTEM,99.5499357051
JLE,CONTROL FLOW,99.5392198886
OR,LOGICAL,99.4856408058
REPZ RET,CONTROL FLOW,99.4749249893
MOVSX,DATA,99.41063009
JAE,CONTROL FLOW,99.41063009
JB,CONTROL FLOW,99.3784826404
JG,CONTROL FLOW,99.3677668238
CMOVE,DATA,99.2498928418
MOVABS,DATA,99.1963137591
SETNE,BITWISE,98.9605657951
JS,CONTROL FLOW,98.8962708958
HLT,SYSTEM,98.8319759966
NEG,BINARY ARITHMETIC,98.7783969138
JGE,CONTROL FLOW,98.6283754822
NOT,LOGICAL,98.585512216
IMUL,BINARY ARITHMETIC,98.5533647664
CMOVNE,DATA,98.5533647664
JNS,CONTROL FLOW,98.3069009859
SBB,BINARY ARITHMETIC,98.2104586369
CDQE,DATA,97.8354050579
MOVAPS,SSE,97.5996570939
CMPXCHG,DATA,97.503214745
REPZ CMPS,STRING,97.4603514788
REP STOS,STRING,97.3317616802
SETA,BITWISE,97.0102871839
SETB,BITWISE,96.8495499357
MOVSD,STRING,96.8174024861
SETG,BITWISE,96.2816116588
CMOVG,DATA,94.7492498928
PXOR,MMX,94.5456493785
CMOVNS,DATA,94.3527646807
MOVDQU,SSE,92.3810544363
JL,CONTROL FLOW,91.4487783969
DIV,BINARY ARITHMETIC,91.2451778826
SETLE,BITWISE,91.1701671667
MOVDQA,SSE,91.1487355336
SETAE,BITWISE,90.645092156
